"coin_id","name","symbol","blockchain","market_cap_usd","price_usd","volume_24h","circulating_supply","max_supply","ath_price","atl_price","price_change_24h","price_change_7d","rank","launch_year","consensus_algorithm","category","exchange_listed","developer_activity_score","community_score"
"CR-001","Bitcoin","BTC","Bitcoin","1200000000000","60000","35000000000","19500000","21000000","69000","67","-2.5","5.2","1","2009","PoW","Store of Value","Binance","95","98"
"CR-002","Ethereum","ETH","Ethereum","500000000000","3000","20000000000","120000000","","4800","0.4","-1.8","6.5","2","2015","PoS","Smart Contracts","Coinbase","93","97"
"CR-003","BNB","BNB","BSC","80000000000","400","1500000000","200000000","200000000","690","0.1","-1.2","4","3","2017","PoSA","Exchange","Binance","85","90"
"CR-004","Solana","SOL","Solana","60000000000","150","2500000000","400000000","","260","0.5","-3.5","8","4","2020","PoH","Smart Contracts","Binance","88","92"
"CR-005","XRP","XRP","Ripple","30000000000","0.6","1200000000","50000000000","100000000000","3.4","0.002","-0.8","2.1","5","2012","Consensus","Payments","Coinbase","80","85"
"CR-006","Cardano","ADA","Cardano","25000000000","0.5","800000000","35000000000","45000000000","3.1","0.02","-1.5","3","6","2017","PoS","Smart Contracts","Binance","82","88"
"CR-007","Dogecoin","DOGE","Doge","15000000000","0.1","700000000","130000000000","","0.73","0.0001","-2","6.2","7","2013","PoW","Meme","Coinbase","70","95"
"CR-008","Polkadot","DOT","Polkadot","10000000000","7","600000000","1500000000","","55","2.7","-1","4.5","8","2020","NPoS","Interoperability","Binance","78","80"
"CR-009","Litecoin","LTC","Litecoin","8000000000","90","500000000","75000000","84000000","410","1.1","-1.3","2.8","9","2011","PoW","Payments","Coinbase","75","78"
"CR-010","Chainlink","LINK","Ethereum","7000000000","15","450000000","500000000","1000000000","52","0.1","-2.2","5","10","2017","Oracle","DeFi","Binance","88","89"
"CR-011","Avalanche","AVAX","Avalanche","6500000000","18","400000000","350000000","","146","2.8","-3","7.5","11","2020","PoS","Smart Contracts","Binance","84","87"
"CR-012","Polygon","MATIC","Polygon","6000000000","0.9","380000000","8000000000","10000000000","2.9","0.003","-1.7","6.1","12","2017","PoS","Layer2","Coinbase","86","88"
"CR-013","Uniswap","UNI","Ethereum","5000000000","8","300000000","600000000","1000000000","45","1","-2.4","4.3","13","2020","DeFi","DEX","Binance","82","84"
"CR-014","Shiba Inu","SHIB","Ethereum","4000000000","0.00002","250000000","500000000000000","","0.00008","0.00000001","-3","9","14","2020","Meme","Token","Binance","65","93"
"CR-015","Cosmos","ATOM","Cosmos","3500000000","10","200000000","300000000","","44","1.2","-1.9","3.7","15","2019","PoS","Interoperability","Binance","80","82"
"CR-016","Tezos","XTZ","Tezos","3000000000","1.2","150000000","900000000","","9.2","0.3","-1.1","2.9","16","2018","LPoS","Smart Contracts","Coinbase","77","79"
"CR-017","NEAR","NEAR","Near","2800000000","4","140000000","700000000","","20","0.5","-2.6","6.8","17","2020","PoS","Smart Contracts","Binance","81","83"
"CR-018","Filecoin","FIL","Filecoin","2500000000","5","130000000","400000000","","237","2.5","-2.8","5.5","18","2020","PoRep","Storage","Coinbase","79","80"
"CR-019","Algorand","ALGO","Algorand","2000000000","0.3","120000000","6000000000","","3.2","0.1","-1.4","3.2","19","2019","PPoS","Payments","Binance","76","78"
"CR-020","VeChain","VET","VeChain","1800000000","0.05","100000000","70000000000","","0.28","0.002","-1","2.5","20","2015","PoA","Supply Chain","Binance","74","76"
