"sample_id","sample_type","organism","collection_date","lab_technician","temperature_c","ph_level","contamination_flag","dna_concentration","protein_level","test_type","result_status","analysis_time_min","equipment_used","lab_location","project_name","storage_condition","sample_weight_g","replicate_count","notes"
"BIO-001","Blood","Human","2026-03-01","Min","4","7.4","No","50","120","PCR","Success","60","MachineA","Yangon","GenomeStudy","Freezer","2","3","Normal"
"BIO-002","Tissue","Mouse","2026-03-02","Tun","5","7.2","No","45","110","Sequencing","Success","120","MachineB","Mandalay","CancerStudy","Freezer","1.5","2","Normal"
"BIO-003","Saliva","Human","2026-03-03","Hla","4","7","Yes","30","90","PCR","Failed","80","MachineA","Yangon","GenomeStudy","Fridge","1","2","Contaminated"
"BIO-004","Blood","Human","2026-03-04","Kyaw","4","7.5","No","55","130","PCR","Success","65","MachineA","Yangon","GenomeStudy","Freezer","2.1","3","Normal"
"BIO-005","Tissue","Rat","2026-03-05","Aung","6","6.9","No","40","100","Sequencing","Success","110","MachineB","Bago","DrugTest","Freezer","1.3","2","Normal"
"BIO-006","Urine","Human","2026-03-06","Su","5","6.8","No","25","80","Chemical","Success","50","MachineC","Yangon","Toxicology","Fridge","0.8","2","Normal"
"BIO-007","Blood","Human","2026-03-07","Mg","4","7.3","No","52","125","PCR","Success","70","MachineA","Yangon","GenomeStudy","Freezer","2.2","3","Normal"
"BIO-008","Tissue","Mouse","2026-03-08","Ko","5","7.1","No","47","115","Sequencing","Success","115","MachineB","Mandalay","CancerStudy","Freezer","1.4","2","Normal"
"BIO-009","Saliva","Human","2026-03-09","Mya","4","7","No","35","95","PCR","Success","75","MachineA","Yangon","GenomeStudy","Fridge","1.1","2","Normal"
"BIO-010","Blood","Human","2026-03-10","Nyein","4","7.6","No","60","140","PCR","Success","68","MachineA","Yangon","GenomeStudy","Freezer","2.3","3","Normal"
"BIO-011","Tissue","Rat","2026-03-11","Min","6","6.8","No","42","105","Sequencing","Success","105","MachineB","Bago","DrugTest","Freezer","1.2","2","Normal"
"BIO-012","Urine","Human","2026-03-12","Tun","5","6.7","No","28","85","Chemical","Success","55","MachineC","Yangon","Toxicology","Fridge","0.9","2","Normal"
"BIO-013","Blood","Human","2026-03-13","Hla","4","7.4","No","53","128","PCR","Success","72","MachineA","Yangon","GenomeStudy","Freezer","2.1","3","Normal"
"BIO-014","Tissue","Mouse","2026-03-14","Kyaw","5","7.2","No","46","112","Sequencing","Success","118","MachineB","Mandalay","CancerStudy","Freezer","1.5","2","Normal"
"BIO-015","Saliva","Human","2026-03-15","Aung","4","7.1","No","34","92","PCR","Success","78","MachineA","Yangon","GenomeStudy","Fridge","1","2","Normal"
"BIO-016","Blood","Human","2026-03-16","Su","4","7.5","No","58","135","PCR","Success","66","MachineA","Yangon","GenomeStudy","Freezer","2.2","3","Normal"
"BIO-017","Tissue","Rat","2026-03-17","Mg","6","6.9","No","41","108","Sequencing","Success","112","MachineB","Bago","DrugTest","Freezer","1.3","2","Normal"
"BIO-018","Urine","Human","2026-03-18","Ko","5","6.8","No","26","82","Chemical","Success","52","MachineC","Yangon","Toxicology","Fridge","0.7","2","Normal"
"BIO-019","Blood","Human","2026-03-19","Mya","4","7.3","No","54","130","PCR","Success","69","MachineA","Yangon","GenomeStudy","Freezer","2","3","Normal"
"BIO-020","Tissue","Mouse","2026-03-20","Nyein","5","7.2","No","48","118","Sequencing","Success","117","MachineB","Mandalay","CancerStudy","Freezer","1.4","2","Normal"
