"trade_id","user_id","coin_symbol","trade_type","price_usd","quantity","total_value_usd","exchange","fee_usd","profit_loss_usd","order_type","leverage","margin_used","trade_status","trade_date","entry_price","exit_price","liquidation_price","region"
"T-001","U-101","BTC","Buy","68000","0.5","34000","Binance","20","500","Market","10x","5000","Closed","2026-03-01","67000","68000","60000","Asia"
"T-002","U-102","ETH","Sell","3500","2","7000","Coinbase","10","-200","Limit","5x","2000","Closed","2026-03-02","3600","3500","3000","US"
"T-003","U-103","SOL","Buy","150","20","3000","Kraken","5","300","Market","8x","1000","Closed","2026-03-03","140","150","100","EU"
"T-004","U-104","BNB","Buy","500","10","5000","Binance","8","400","Limit","3x","1500","Closed","2026-03-04","480","500","420","Asia"
"T-005","U-105","XRP","Sell","0.8","5000","4000","Bybit","6","-100","Market","12x","800","Closed","2026-03-05","0.85","0.8","0.6","Asia"
"T-006","U-106","ADA","Buy","1.2","3000","3600","Binance","7","200","Market","6x","900","Closed","2026-03-06","1.1","1.2","0.9","EU"
"T-007","U-107","DOGE","Buy","0.2","10000","2000","Kraken","4","150","Market","15x","500","Closed","2026-03-07","0.18","0.2","0.1","US"
"T-008","U-108","BTC","Sell","69000","0.3","20700","Binance","15","-300","Limit","10x","4000","Closed","2026-03-08","70000","69000","62000","Asia"
"T-009","U-109","ETH","Buy","3400","3","10200","Coinbase","12","250","Market","5x","2500","Closed","2026-03-09","3300","3400","2800","EU"
"T-010","U-110","SOL","Sell","160","25","4000","Bybit","6","-150","Market","8x","1200","Closed","2026-03-10","170","160","120","Asia"
"T-011","U-111","BNB","Buy","520","8","4160","Binance","9","350","Limit","3x","1300","Closed","2026-03-11","500","520","450","Asia"
"T-012","U-112","XRP","Buy","0.75","6000","4500","Kraken","5","200","Market","10x","900","Closed","2026-03-12","0.7","0.75","0.5","EU"
"T-013","U-113","ADA","Sell","1.3","2000","2600","Coinbase","6","-120","Limit","6x","800","Closed","2026-03-13","1.35","1.3","1","US"
"T-014","U-114","DOGE","Sell","0.22","8000","1760","Binance","3","-80","Market","12x","400","Closed","2026-03-14","0.25","0.22","0.15","Asia"
"T-015","U-115","BTC","Buy","67000","0.4","26800","Bybit","18","600","Market","10x","4500","Closed","2026-03-15","66000","67000","59000","Asia"
"T-016","U-116","ETH","Buy","3300","4","13200","Coinbase","14","400","Limit","5x","3000","Closed","2026-03-16","3200","3300","2700","EU"
"T-017","U-117","SOL","Buy","155","30","4650","Kraken","6","350","Market","8x","1500","Closed","2026-03-17","145","155","110","US"
"T-018","U-118","BNB","Sell","510","6","3060","Binance","7","-90","Market","3x","1000","Closed","2026-03-18","530","510","460","Asia"
"T-019","U-119","XRP","Buy","0.78","7000","5460","Bybit","6","250","Limit","10x","1000","Closed","2026-03-19","0.72","0.78","0.55","Asia"
"T-020","U-120","ADA","Buy","1.25","2500","3125","Binance","7","180","Market","6x","800","Closed","2026-03-20","1.2","1.25","1","EU"
