"player_id","username","game_title","rank_level","match_id","kills","deaths","assists","damage_done","damage_taken","headshots","accuracy_percent","play_time_minutes","map_name","weapon_used","win_result","ping_ms","platform","region","session_date"
"GP-001","ShadowX","Valorant","Platinum","M001","25","10","5","4500","3200","12","38","42","Ascent","Vandal","Win","28","PC","Asia","2026-03-01"
"GP-002","FireBolt","Valorant","Diamond","M002","30","12","7","5200","3500","15","41","50","Bind","Phantom","Win","32","PC","Asia","2026-03-02"
"GP-003","NoScopeKing","CS2","Gold","M003","20","15","4","4000","3700","10","35","60","Dust2","AK47","Lose","40","PC","EU","2026-03-03"
"GP-004","SilentAim","Apex","Master","M004","18","8","10","3900","2900","8","45","55","World Edge","R301","Win","25","PC","NA","2026-03-04"
"GP-005","RushB","CS2","Silver","M005","12","18","3","2500","4200","5","30","48","Mirage","AK47","Lose","55","PC","Asia","2026-03-05"
"GP-006","ClutchGod","Valorant","Immortal","M006","35","9","8","6000","3100","18","48","65","Haven","Operator","Win","20","PC","Asia","2026-03-06"
"GP-007","PixelPro","FIFA","Elite","M007","3","1","0","1200","800","0","90","30","Stadium","N/A","Win","18","Console","EU","2026-03-07"
"GP-008","FastFury","Fortnite","Champion","M008","15","7","6","3800","2600","7","42","70","Island","Shotgun","Win","35","PC","NA","2026-03-08"
"GP-009","DriftKing","NFS","Pro","M009","0","0","0","0","0","0","0","80","City","Car","Win","22","PC","Asia","2026-03-09"
"GP-010","SnipeLord","Warzone","Gold","M010","22","14","5","4700","3900","11","36","75","Desert","Sniper","Lose","45","PC","NA","2026-03-10"
"GP-011","ShadowX","Valorant","Platinum","M011","28","11","6","4800","3300","13","39","44","Split","Vandal","Win","27","PC","Asia","2026-03-11"
"GP-012","FireBolt","Valorant","Diamond","M012","31","10","9","5300","3400","16","43","52","Bind","Phantom","Win","31","PC","Asia","2026-03-12"
"GP-013","NoScopeKing","CS2","Gold","M013","18","16","5","3900","4100","9","34","61","Dust2","AK47","Lose","42","PC","EU","2026-03-13"
"GP-014","SilentAim","Apex","Master","M014","20","9","11","4100","3000","9","46","56","World Edge","R301","Win","24","PC","NA","2026-03-14"
"GP-015","RushB","CS2","Silver","M015","14","17","4","2700","4300","6","31","49","Mirage","AK47","Lose","53","PC","Asia","2026-03-15"
"GP-016","ClutchGod","Valorant","Immortal","M016","36","8","7","6100","3000","19","49","66","Haven","Operator","Win","19","PC","Asia","2026-03-16"
"GP-017","PixelPro","FIFA","Elite","M017","4","1","1","1300","900","0","91","31","Stadium","N/A","Win","17","Console","EU","2026-03-17"
"GP-018","FastFury","Fortnite","Champion","M018","17","6","7","4000","2500","8","44","72","Island","Shotgun","Win","34","PC","NA","2026-03-18"
"GP-019","DriftKing","NFS","Pro","M019","0","0","0","0","0","0","0","82","City","Car","Win","21","PC","Asia","2026-03-19"
"GP-020","SnipeLord","Warzone","Gold","M020","23","13","6","4800","3800","12","37","76","Desert","Sniper","Lose","44","PC","NA","2026-03-20"
