"sensor_id","zone","device_type","temperature_c","humidity_percent","air_quality_index","noise_db","traffic_density","light_level_lux","power_consumption_w","signal_strength","status","last_maintenance_date","firmware_version","installation_date","latitude","longitude","alert_flag","data_timestamp"
"S-001","Downtown","Air Sensor","32","65","120","55","High","800","15","Strong","Active","2026-01-10","v1.2.3","2025-05-01","16.8409","96.1735","Yes","2026-04-10 8:00"
"S-002","Industrial","Noise Sensor","35","70","180","90","Medium","600","18","Weak","Active","2026-01-15","v1.1.9","2025-06-12","16.9","96.15","Yes","2026-04-10 8:05"
"S-003","Residential","Light Sensor","30","60","90","40","Low","1200","10","Strong","Active","2026-02-01","v1.0.5","2025-07-20","16.87","96.18","No","2026-04-10 8:10"
"S-004","Highway","Traffic Sensor","34","68","150","70","Very High","500","20","Moderate","Active","2026-01-25","v1.3.0","2025-08-11","16.91","96.2","Yes","2026-04-10 8:15"
"S-005","Park","Air Sensor","28","75","60","30","Low","1400","8","Strong","Active","2026-03-05","v1.2.1","2025-09-01","16.88","96.17","No","2026-04-10 8:20"
"S-006","Downtown","Camera","33","66","110","60","High","700","25","Strong","Active","2026-02-20","v2.0.0","2025-05-18","16.841","96.1736","Yes","2026-04-10 8:25"
"S-007","Industrial","Air Sensor","36","72","200","85","High","650","17","Weak","Inactive","2026-01-18","v1.2.2","2025-06-22","16.905","96.155","Yes","2026-04-10 8:30"
"S-008","Residential","Noise Sensor","29","62","85","35","Low","1100","9","Strong","Active","2026-02-14","v1.1.0","2025-07-28","16.875","96.182","No","2026-04-10 8:35"
"S-009","Highway","Camera","34","69","140","75","Very High","550","22","Moderate","Active","2026-03-01","v2.1.0","2025-08-20","16.915","96.205","Yes","2026-04-10 8:40"
"S-010","Park","Light Sensor","27","78","50","25","Low","1500","7","Strong","Active","2026-03-10","v1.0.2","2025-09-10","16.885","96.175","No","2026-04-10 8:45"
"S-011","Downtown","Air Sensor","32","64","115","58","High","780","14","Strong","Active","2026-01-12","v1.2.3","2025-05-02","16.842","96.1737","Yes","2026-04-10 8:50"
"S-012","Industrial","Noise Sensor","35","71","175","88","Medium","620","19","Weak","Active","2026-01-16","v1.1.8","2025-06-15","16.901","96.151","Yes","2026-04-10 8:55"
"S-013","Residential","Light Sensor","30","59","88","42","Low","1250","11","Strong","Active","2026-02-02","v1.0.4","2025-07-21","16.871","96.181","No","2026-04-10 9:00"
"S-014","Highway","Traffic Sensor","34","67","145","72","Very High","520","21","Moderate","Active","2026-01-26","v1.3.1","2025-08-12","16.911","96.201","Yes","2026-04-10 9:05"
"S-015","Park","Air Sensor","28","76","65","28","Low","1450","8","Strong","Active","2026-03-06","v1.2.0","2025-09-02","16.881","96.171","No","2026-04-10 9:10"
"S-016","Downtown","Camera","33","65","112","61","High","710","26","Strong","Active","2026-02-21","v2.0.1","2025-05-19","16.843","96.1738","Yes","2026-04-10 9:15"
"S-017","Industrial","Air Sensor","36","73","205","87","High","660","18","Weak","Inactive","2026-01-19","v1.2.1","2025-06-23","16.906","96.156","Yes","2026-04-10 9:20"
"S-018","Residential","Noise Sensor","29","61","82","36","Low","1120","10","Strong","Active","2026-02-15","v1.1.1","2025-07-29","16.876","96.183","No","2026-04-10 9:25"
"S-019","Highway","Camera","34","70","142","76","Very High","560","23","Moderate","Active","2026-03-02","v2.1.1","2025-08-21","16.916","96.206","Yes","2026-04-10 9:30"
"S-020","Park","Light Sensor","27","79","55","26","Low","1520","7","Strong","Active","2026-03-11","v1.0.3","2025-09-11","16.886","96.176","No","2026-04-10 9:35"
