"player_id","name","team","league","position","age","nationality","matches_played","goals","assists","shots","shots_on_target","pass_accuracy","dribbles","interceptions","tackles","yellow_cards","red_cards","minutes_played","market_value_million"
"PLY-001","Lionel Messi","Inter Miami","MLS","Forward","38","Argentina","20","15","10","80","50","88","60","5","3","2","0","1800","35"
"PLY-002","Cristiano Ronaldo","Al Nassr","SPL","Forward","41","Portugal","22","18","5","90","60","82","40","3","2","1","0","1900","30"
"PLY-003","Kylian Mbappe","PSG","Ligue 1","Forward","27","France","21","17","8","85","55","85","70","6","4","3","0","1850","180"
"PLY-004","Erling Haaland","Man City","EPL","Forward","25","Norway","23","20","4","95","65","80","30","2","1","2","0","2000","170"
"PLY-005","Kevin De Bruyne","Man City","EPL","Midfielder","34","Belgium","19","6","14","60","35","90","50","10","5","3","0","1700","90"
"PLY-006","Bruno Fernandes","Man United","EPL","Midfielder","31","Portugal","22","10","9","75","40","87","45","12","6","4","0","1950","75"
"PLY-007","Virgil van Dijk","Liverpool","EPL","Defender","34","Netherlands","24","2","1","20","10","92","10","40","35","3","0","2100","60"
"PLY-008","Jude Bellingham","Real Madrid","La Liga","Midfielder","22","England","23","12","7","70","42","88","55","15","8","2","0","2000","150"
"PLY-009","Pedri","Barcelona","La Liga","Midfielder","23","Spain","21","5","10","65","38","91","60","18","7","1","0","1850","120"
"PLY-010","Harry Kane","Bayern Munich","Bundesliga","Forward","32","England","22","19","6","88","58","84","25","3","2","2","0","1950","110"
"PLY-011","Son Heung-min","Tottenham","EPL","Forward","33","South Korea","23","14","9","78","50","86","65","5","3","1","0","2000","85"
"PLY-012","Mohamed Salah","Liverpool","EPL","Forward","34","Egypt","24","16","7","85","55","83","70","6","4","2","0","2100","95"
"PLY-013","Rodri","Man City","EPL","Midfielder","30","Spain","25","4","6","50","30","93","25","30","20","5","0","2200","100"
"PLY-014","Alisson","Liverpool","EPL","Goalkeeper","33","Brazil","24","0","0","5","2","85","0","2","1","1","0","2160","60"
"PLY-015","Thibaut Courtois","Real Madrid","La Liga","Goalkeeper","34","Belgium","20","0","0","4","1","87","0","3","1","0","0","1800","55"
"PLY-016","Declan Rice","Arsenal","EPL","Midfielder","27","England","24","5","4","55","32","89","30","35","22","4","0","2100","95"
"PLY-017","Bukayo Saka","Arsenal","EPL","Forward","24","England","23","13","11","80","48","86","75","6","3","2","0","2000","110"
"PLY-018","Marcus Rashford","Man United","EPL","Forward","27","England","22","12","6","78","46","82","60","5","2","3","0","1900","85"
"PLY-019","Antoine Griezmann","Atletico Madrid","La Liga","Forward","35","France","23","11","8","70","40","88","45","10","5","2","0","2000","65"
"PLY-020","Luka Modric","Real Madrid","La Liga","Midfielder","40","Croatia","21","3","9","45","25","92","20","12","6","1","0","1800","20"
